Timestamp,Player 1,Player 2,Player 1 result,Player 2 result,,TIMESTAMP,PLAYER 1,PLAYER 2,PLAYER 1 RESULT,PLAYER 2 RESULT
5/21/2025,Pnuema,Timestop,1.00,0.00,,5/21/2025,PNUEMA,TIMESTOP,1.00,0.00
5/21/2025,Jawn,Pnuema,0.75,0.25,,5/21/2025,JAWN,PNUEMA,0.75,0.25
5/21/2025,Valentine,Parappa,0.60,0.40,,5/21/2025,VALENTINE,PARAPPA,0.60,0.40
5/21/2025,Squid,D-Cint,0.00,1.00,,5/21/2025,SQUID,D-CINT,0.00,1.00
5/21/2025,Cosmic,Valentine,0.75,0.25,,5/21/2025,COSMIC,VALENTINE,0.75,0.25
5/21/2025,Tension,Poke,0.00,1.00,,5/21/2025,TENSION,POKE,0.00,1.00
5/21/2025,Tension,Timestop,0.75,0.25,,5/21/2025,TENSION,TIMESTOP,0.75,0.25
5/21/2025,Squid,Parappa,0.00,1.00,,5/21/2025,SQUID,PARAPPA,0.00,1.00
5/21/2025,Tension,Valentine,0.40,0.60,,5/21/2025,TENSION,VALENTINE,0.40,0.60
5/21/2025,Parappa,Pnuema,0.75,0.25,,5/21/2025,PARAPPA,PNUEMA,0.75,0.25
5/21/2025,Jawn,D-Cint,0.40,0.60,,5/21/2025,JAWN,D-CINT,0.40,0.60
5/21/2025,Cosmic,Poke,1.00,0.00,,5/21/2025,COSMIC,POKE,1.00,0.00
5/21/2025,Jawn,Valentine,1.00,0.00,,5/21/2025,JAWN,VALENTINE,1.00,0.00
5/21/2025,Poke,Parappa,1.00,0.00,,5/21/2025,POKE,PARAPPA,1.00,0.00
5/21/2025,Jawn,Poke,0.75,0.25,,5/21/2025,JAWN,POKE,0.75,0.25
5/21/2025,Cosmic,D-Cint,0.60,0.40,,5/21/2025,COSMIC,D-CINT,0.60,0.40
5/21/2025,D-Cint,Jawn,0.75,0.25,,5/21/2025,D-CINT,JAWN,0.75,0.25
5/21/2025,Cosmic,D-Cint,0.00,1.00,,5/21/2025,COSMIC,D-CINT,0.00,1.00
5/21/2025,Cosmic,D-Cint,0.75,0.25,,5/21/2025,COSMIC,D-CINT,0.75,0.25
